jumlah_semester,ipk,total_sks_lulus,jumlah_mk_diulang,semester_terakhir_aktif,semester_tidak_aktif_berturut,jml_mk_wajib,jml_mk_pilihan_bebas_non_bidang,jml_mk_pilihan_bebas_prodi,jml_mk_pilihan_wajib_profil,status,kategori_ipk,kategori_sks,kategori_mk_wajib,kategori_mk_bebas_nb,kategori_mk_bebas_prodi,kategori_mk_wajib_profil,kategori_mk_diulang,risiko
11,3.03,147,6,20251,0,35,2,9,7,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
11,2.93,134,5,20251,0,36,0,11,6,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
7,2.36,106,5,20231,4,32,2,3,6,T,Rendah,Kurang,Cukup,Cukup,Kurang,Cukup,Normal,DO
11,2.33,94,17,20251,0,31,1,3,5,A,Rendah,Kurang,Cukup,Kurang,Kurang,Kurang,Banyak,Tinggi
11,2.52,138,10,20251,0,34,0,4,12,A,Sedang,Kurang,Cukup,Kurang,Kurang,Cukup,Banyak,Sedang
11,2.07,123,19,20251,0,35,0,8,11,A,Rendah,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Tinggi
11,2.64,141,5,20251,0,34,1,7,8,A,Sedang,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Sedang
11,2.96,130,5,20251,0,35,2,5,9,A,Baik,Kurang,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
10,2.64,115,16,20251,0,33,2,7,5,A,Sedang,Kurang,Cukup,Cukup,Cukup,Kurang,Banyak,Tinggi
11,2.54,146,6,20251,0,36,2,7,12,A,Sedang,Cukup,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
11,3.25,149,7,20251,0,37,2,7,8,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
11,2.55,136,12,20251,0,35,1,7,7,A,Sedang,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Tinggi
10,1.55,65,16,20241,2,33,0,1,4,T,Rendah,Kurang,Cukup,Kurang,Kurang,Kurang,Banyak,DO
11,3.18,140,2,20251,0,36,1,9,6,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
11,2.46,142,6,20251,0,36,2,8,9,A,Rendah,Kurang,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
11,3.38,148,5,20251,0,36,0,7,10,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
11,3.22,149,6,20251,0,36,1,6,9,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.1,142,3,20241,2,36,1,7,8,T,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.53,138,14,20251,0,34,2,8,8,A,Sedang,Kurang,Cukup,Cukup,Cukup,Cukup,Banyak,Tinggi
9,3.36,139,1,20251,0,36,1,7,9,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.56,130,11,20251,0,34,2,6,6,A,Sedang,Kurang,Cukup,Cukup,Cukup,Cukup,Banyak,Tinggi
9,3.45,142,3,20251,0,36,1,4,12,A,Baik,Kurang,Cukup,Kurang,Kurang,Cukup,Normal,Rendah
9,2.28,111,9,20251,0,35,1,4,14,A,Rendah,Kurang,Cukup,Kurang,Kurang,Cukup,Banyak,Sedang
9,3.31,145,4,20251,0,36,2,5,9,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
9,2.94,154,10,20251,0,36,1,8,7,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.41,173,8,20251,0,36,1,8,9,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.3,128,2,20251,0,34,2,8,4,A,Baik,Kurang,Cukup,Cukup,Cukup,Kurang,Normal,Rendah
9,3.47,135,2,20251,0,35,0,7,7,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,3.28,141,4,20251,0,34,2,5,8,A,Baik,Kurang,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
9,3.13,155,2,20251,0,36,2,10,6,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
9,3.14,147,8,20251,0,36,1,6,9,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.43,147,5,20251,0,36,2,6,8,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
10,2.4,113,15,20251,0,33,1,6,5,A,Rendah,Kurang,Cukup,Kurang,Cukup,Kurang,Banyak,Tinggi
8,2.85,118,9,20251,0,33,0,6,6,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.27,139,4,20251,0,35,1,7,9,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.83,150,7,20251,0,35,2,8,9,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
9,3.72,142,0,20251,0,35,1,4,13,A,Baik,Kurang,Cukup,Kurang,Kurang,Cukup,Normal,Rendah
10,3.37,146,4,20251,0,36,0,5,8,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,3.24,146,4,20251,0,36,1,5,12,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.22,128,16,20251,0,33,2,5,4,A,Rendah,Kurang,Cukup,Cukup,Cukup,Kurang,Banyak,Tinggi
9,2.59,134,11,20251,0,34,1,8,6,A,Sedang,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Tinggi
9,3.45,144,2,20251,0,36,1,6,8,A,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,3.12,142,7,20251,0,35,1,4,11,A,Baik,Kurang,Cukup,Kurang,Kurang,Cukup,Banyak,Sedang
9,2.66,126,9,20251,0,35,0,7,7,A,Sedang,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
8,3.17,147,0,20242,1,36,0,6,13,T,Baik,Cukup,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.48,137,12,20251,0,34,2,7,4,A,Rendah,Kurang,Cukup,Cukup,Cukup,Kurang,Banyak,Tinggi
9,3.52,142,1,20251,0,36,2,4,12,A,Baik,Kurang,Cukup,Cukup,Kurang,Cukup,Normal,Rendah
10,1.81,75,17,20251,0,31,1,1,4,A,Rendah,Kurang,Cukup,Kurang,Kurang,Kurang,Banyak,DO
9,2.79,140,6,20251,0,36,1,8,10,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
9,3.11,155,9,20251,0,36,2,11,8,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Banyak,Sedang
9,3.44,138,1,20251,0,35,0,6,9,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Normal,Rendah
9,2.82,143,9,20251,0,36,1,7,9,A,Baik,Kurang,Cukup,Kurang,Cukup,Cukup,Banyak,Sedang
10,1.83,80,19,20251,0,30,0,2,0,A,Rendah,Kurang,Cukup,Kurang,Kurang,Kurang,Banyak,DO
9,3.5,150,4,20251,0,36,2,8,7,A,Baik,Cukup,Cukup,Cukup,Cukup,Cukup,Normal,Rendah
9,2.65,145,12,20251,0,36,3,10,5,A,Sedang,Cukup,Cukup,Cukup,Cukup,Kurang,Banyak,Tinggi
